POSIZIONE;DATA;PARTENZA STIMATA;ARRIVO STIMATO;PROBLEMA;CONSEGUENZE;LINK
Campobasso-Vinchiaturo;11/10/2018;UNKNOWN;UNKNOWN;UNKNOWN;Ritardo di 90 minuti;https://facebook.com/story.php?story_fbid=2112089839039817&id=1652501871665285
Campobasso-Roma;19/10/2018;05:45;08:52;UNKNOWN;Ritardo di 250 minuti;https://www.facebook.com/story.php?story_fbid=2116255708623230&id=1652501871665285
Campobasso-Roma;29/10/2018;08:35;11:43;Treno di coincidenza per il controllore in ritardo;"Ritardo di 30 minuti (partenza); Ritardo di 60 minuti (viaggio)";https://facebook.com/story.php?story_fbid=2121846384730829&id=1652501871665285
Campobasso-Roma;02/11/2018;04:10;UNKNOWN;Bus sostitutivo assente ;"Bus sostitutivo cancellato; Treno successivo (05:45) Ritardo di 34 minuti";https://facebook.com/story.php?story_fbid=2123755474539920&id=1652501871665285
Campobasso-Roma;07/11/2018;16:45;19:53;Treno guasto;"Ritardo 40 minuti; Passegeri scesi a Ciampino per treno sostitutivo";https://facebook.com/story.php?story_fbid=2126542410927893&id=1652501871665285
Isernia-Carpinone;20/11/2018;05:45;UNKNOWN;Albero sul binario;"Guasti al treno; Ritardi vari";https://facebook.com/story.php?story_fbid=2134102956838505&id=1652501871665285
Roma-Campobasso;07/12/2018;UNKNOWN;UNKNOWN;Treno cancellato;"Vari treni sostitutivi; Ritardo";https://facebook.com/story.php?story_fbid=2145476265701174&id=1652501871665285
Cassino-Roma;14/12/2018;08:36;UNKNOWN;UNKNOWN;Ritardo;https://facebook.com/story.php?story_fbid=2150033485245452&id=1652501871665285
Roma-Campobasso;22/12/2018;09:07;UNKNOWN;UNKNOWN;Anticipo di 4 minuti;https://facebook.com/story.php?story_fbid=2154921744756626&id=1652501871665285
;;;;;;
;;;;;;
;;;//COMPLETO;;;
