fid;x;y;DEC_TIPO;layer;time;length;endtime
1;12,50222599;41,90065145;Stazione;temp stazioni xy;01/01/2020 17:40;3461,421;01/01/2020 17:41
2;12,53466449;41,88106283;;temp punti xy;01/01/2020 17:42;3397,144;01/01/2020 17:43
3;12,55336293;41,85385764;;;01/01/2020 17:44;3397,432;01/01/2020 17:45
4;12,57206137;41,82665245;;temp punti xy;01/01/2020 17:46;3240,728;01/01/2020 17:46
5;12,59789449;41,80479258;;temp punti xy;01/01/2020 17:47;2181,927;01/01/2020 17:48
6;12,62414999;41,80482895;;temp punti xy;01/01/2020 17:49;2575,235;01/01/2020 17:49
7;12,65039574;41,81715895;;;01/01/2020 17:50;2574,883;01/01/2020 17:51
8;12,67664149;41,82948895;;temp punti xy;01/01/2020 17:52;4491,497;01/01/2020 17:53
9;12,73057449;41,83235533;;temp punti xy;01/01/2020 17:54;1908,417;01/01/2020 17:55
10;12,75175624;41,83901083;;temp punti xy;01/01/2020 17:56;2923,248;01/01/2020 17:56
11;12,78626156;41,83383227;;;01/01/2020 17:57;2923,473;01/01/2020 17:58
12;12,82076687;41,8286537;;temp punti xy;01/01/2020 17:59;1648,907;01/01/2020 17:59
13;12,82855549;41,81499895;;temp punti xy;01/01/2020 18:00;3328,933;01/01/2020 18:01
14;12,85213262;41,79076908;;temp punti xy;01/01/2020 18:02;2457,633;01/01/2020 18:03
15;12,88063103;41,78487839;;;01/01/2020 18:04;2457,841;01/01/2020 18:04
16;12,90912943;41,77898771;;;01/01/2020 18:05;2458,051;01/01/2020 18:05
17;12,93762784;41,77309702;;;01/01/2020 18:06;2458,259;01/01/2020 18:07
18;12,96612624;41,76720633;;temp punti xy;01/01/2020 18:08;2041,406;01/01/2020 18:08
19;12,98362874;41,75431908;;;01/01/2020 18:09;2041,612;01/01/2020 18:09
20;13,00113124;41,74143183;;temp punti xy;01/01/2020 18:10;1807,945;01/01/2020 18:11
21;13,01977262;41,73306433;;temp punti xy;01/01/2020 18:12;1960,168;01/01/2020 18:12
22;13,04327487;41,73431033;;temp punti xy;01/01/2020 18:13;3454,059;01/01/2020 18:14
23;13,08130862;41,72184633;;temp punti xy;01/01/2020 18:15;2719,117;01/01/2020 18:15
24;13,10853862;41,70831539;;;01/01/2020 18:16;2719,511;01/01/2020 18:17
25;13,13576862;41,69478446;;;01/01/2020 18:18;2719,905;01/01/2020 18:19
26;13,16299862;41,68125352;;;01/01/2020 18:20;2720,299;01/01/2020 18:20
27;13,19022862;41,66772258;;temp punti xy;01/01/2020 18:21;3143,477;01/01/2020 18:22
28;13,22485387;41,6564597;;temp punti xy;01/01/2020 18:23;1417,715;01/01/2020 18:23
29;13,24093212;41,66064883;;temp punti xy;01/01/2020 18:24;4196,72;01/01/2020 18:25
30;13,27731724;41,63451533;;temp punti xy;01/01/2020 18:26;4002,913;01/01/2020 18:28
31;13,32460787;41,6281807;;temp punti xy;01/01/2020 18:29;2014,613;01/01/2020 18:29
32;13,33994924;41,61416283;;temp punti xy;01/01/2020 18:30;3886,305;01/01/2020 18:31
33;13,32995399;41,57998558;;temp punti xy;01/01/2020 18:32;3488,273;01/01/2020 18:33
34;13,35083437;41,55277295;;temp punti xy;01/01/2020 18:34;1657,373;01/01/2020 18:34
35;13,36673424;41,5438277;;temp punti xy;01/01/2020 18:35;1588,489;01/01/2020 18:35
36;13,38546799;41,54637408;;temp punti xy;01/01/2020 18:36;2800,918;01/01/2020 18:37
37;13,41328637;41,53226195;;temp punti xy;01/01/2020 18:38;3144,748;01/01/2020 18:39
38;13,45093062;41,5335367;;temp punti xy;01/01/2020 18:40;3700,865;01/01/2020 18:41
39;13,49230287;41,5215462;;temp punti xy;01/01/2020 18:42;2626,602;01/01/2020 18:43
40;13,52333337;41,52548108;;;01/01/2020 18:44;2626,448;01/01/2020 18:44
41;13,55436387;41,52941595;;temp punti xy;01/01/2020 18:45;3198,276;01/01/2020 18:46
42;13,59268512;41,52957833;;;01/01/2020 18:47;3198,268;01/01/2020 18:48
43;13,63100637;41,5297407;;temp punti xy;01/01/2020 18:49;1029,953;01/01/2020 18:49
44;13,64288212;41,52721908;;temp punti xy;01/01/2020 18:50;819,465;01/01/2020 18:49
45;13,65202074;41,52452158;;temp punti xy;01/01/2020 18:50;3237,099;01/01/2020 18:51
46;13,68648181;41,51115427;;;01/01/2020 18:52;3237,624;01/01/2020 18:53
47;13,72094287;41,49778695;;temp punti xy;01/01/2020 18:54;3639,498;01/01/2020 18:55
48;13,76244943;41,48779052;;;01/01/2020 18:56;3640,005;01/01/2020 18:57
49;13,80395599;41,47779408;;temp punti xy;01/01/2020 18:58;1115,796;01/01/2020 18:58
50;13,81730912;41,47750033;;temp punti xy;01/01/2020 18:59;1143,715;01/01/2020 18:59
51;13,82909662;41,48274133;Diramazione/confluenza;temp stazioni xy;01/01/2020 19:00;309,687;01/01/2020 18:59
52;13,83226237;41,4841932;Stazione;temp stazioni xy;01/01/2020 19:00;59,583;01/01/2020 18:59
53;13,83248721;41,48368406;;temp punti xy;01/01/2020 19:00;412,726;01/01/2020 18:59
54;13,83742074;41,48346908;Diramazione/confluenza;temp stazioni xy;01/01/2020 19:00;1257,902;01/01/2020 19:00
55;13,84835299;41,47567883;;temp punti xy;01/01/2020 19:01;1935,742;01/01/2020 19:01
56;13,84970024;41,45827908;;temp punti xy;01/01/2020 19:02;1360,125;01/01/2020 19:02
57;13,85988999;41,44872883;;temp punti xy;01/01/2020 19:03;3053,057;01/01/2020 19:04
58;13,89429187;41,43947558;;temp punti xy;01/01/2020 19:05;2396,605;01/01/2020 19:05
59;13,92293943;41,43851007;;temp punti xy;01/01/2020 19:06;1329,698;01/01/2020 19:06
60;13,93780463;41,44277853;;temp punti xy;01/01/2020 19:07;2043,47;01/01/2020 19:07
61;13,96220485;41,44158084;;temp punti xy;01/01/2020 19:08;3278,971;01/01/2020 19:09
62;13,99727034;41,42834078;;temp punti xy;01/01/2020 19:10;2387,295;01/01/2020 19:11
63;14,01880403;41,44246299;;temp punti xy;01/01/2020 19:12;3106,764;01/01/2020 19:13
64;14,02917899;41,46932508;;temp punti xy;01/01/2020 19:14;2060,386;01/01/2020 19:14
65;14,04705774;41,48210633;Scalo ferroviario;temp stazioni xy;01/01/2020 19:15;181,156;01/01/2020 19:15
66;14,04884724;41,48302808;Stazione;temp stazioni xy;01/01/2020 19:16;9,035;01/01/2020 20:10
67;14,04891844;41,48296683;;temp punti xy;01/01/2020 20:11;320,132;01/01/2020 20:13
68;14,05202037;41,4846602;Scalo ferroviario;temp stazioni xy;01/01/2020 20:14;3687,952;01/01/2020 20:16
69;14,08850687;41,50337052;;;01/01/2020 20:17;3687,231;01/01/2020 20:18
70;14,12499337;41,52208083;;temp punti xy;01/01/2020 20:19;3028,318;01/01/2020 20:20
71;14,15991599;41,52947795;;temp punti xy;01/01/2020 20:21;1791,272;01/01/2020 20:22
72;14,16044274;41,54560133;;temp punti xy;01/01/2020 20:23;2448,842;01/01/2020 20:26
73;14,18115837;41,5612222;;temp punti xy;01/01/2020 20:27;5057,972;01/01/2020 20:28
74;14,24174449;41,56305583;;temp punti xy;01/01/2020 20:29;2838,965;01/01/2020 20:29
75;14,24284687;41,5886037;;temp punti xy;01/01/2020 20:30;1057,446;01/01/2020 20:29
76;14,23398074;41,59541158;Scalo ferroviario;temp stazioni xy;01/01/2020 20:30;214,189;01/01/2020 20:31
77;14,23549274;41,5969707;Stazione;temp stazioni xy;01/01/2020 20:32;389,7;01/01/2020 20:32
78;14,23824324;41,5998077;Scalo ferroviario;temp stazioni xy;01/01/2020 20:33;2386,551;01/01/2020 20:34
79;14,26686462;41,60022783;;temp punti xy;01/01/2020 20:35;2919,553;01/01/2020 20:38
80;14,28563924;41,57803933;;temp punti xy;01/01/2020 20:39;3573,302;01/01/2020 20:38
81;14,32600774;41,58883108;Scalo ferroviario;temp stazioni xy;01/01/2020 20:39;76,527;01/01/2020 20:39
82;14,32655049;41,58827545;Scalo ferroviario;temp stazioni xy;01/01/2020 20:40;1,313;01/01/2020 20:39
83;14,32656098;41,58826663;;temp punti xy;01/01/2020 20:40;133,678;01/01/2020 20:43
84;14,32765374;41,58738595;Stazione;temp stazioni xy;01/01/2020 20:44;129,212;01/01/2020 20:44
85;14,32862024;41,58647658;Scalo ferroviario;temp stazioni xy;01/01/2020 20:45;38,588;01/01/2020 20:44
86;14,32895924;41,58624008;Scalo ferroviario;temp stazioni xy;01/01/2020 20:45;10,595;01/01/2020 20:45
87;14,32900787;41,58615195;Scalo ferroviario;temp stazioni xy;01/01/2020 20:46;2724,645;01/01/2020 20:47
88;14,34369143;41,56423745;;;01/01/2020 20:48;2724,822;01/01/2020 20:49
89;14,35837499;41,54232295;;temp punti xy;01/01/2020 20:50;2918,31;01/01/2020 20:51
90;14,39116062;41,53317858;;temp punti xy;01/01/2020 20:52;2147,715;01/01/2020 20:52
91;14,41201231;41,52184652;;;01/01/2020 20:53;2147,959;01/01/2020 20:54
92;14,432864;41,51051446;;;01/01/2020 20:55;2148,204;01/01/2020 20:55
93;14,45371568;41,49918239;;;01/01/2020 20:56;2148,448;01/01/2020 20:57
94;14,47456737;41,48785033;Stazione;temp stazioni xy;01/01/2020 20:58;0,775;01/01/2020 20:58
95;14,47457328;41,48784495;;temp punti xy;01/01/2020 20:59;1231,013;01/01/2020 21:00
96;14,48440874;41,47958958;;temp punti xy;01/01/2020 21:01;3183,347;01/01/2020 21:01
97;14,52157574;41,47324695;;temp punti xy;01/01/2020 21:02;1147,16;01/01/2020 21:02
98;14,53493799;41,47086258;;temp punti xy;01/01/2020 21:03;1618,41;01/01/2020 21:05
99;14,54422112;41,45807258;;temp punti xy;01/01/2020 21:06;3543,746;01/01/2020 21:06
100;14,58614812;41,45325558;;temp punti xy;01/01/2020 21:07;1160,399;01/01/2020 21:07
101;14,58712287;41,46367795;;temp punti xy;01/01/2020 21:08;1091,152;01/01/2020 21:09
102;14,59897424;41,46780783;;temp punti xy;01/01/2020 21:10;1841,094;01/01/2020 21:10
103;14,58630199;41,4813712;;temp punti xy;01/01/2020 21:11;1559,372;01/01/2020 21:10
104;14,59590612;41,49341195;Scalo ferroviario;temp stazioni xy;01/01/2020 21:11;26,635;01/01/2020 21:11
105;14,59621099;41,49348245;Scalo ferroviario;temp stazioni xy;01/01/2020 21:12;146,127;01/01/2020 21:13
106;14,59787649;41,4938862;Stazione;temp stazioni xy;01/01/2020 21:14;104,123;01/01/2020 21:14
107;14,59904249;41,49421845;Scalo ferroviario;temp stazioni xy;01/01/2020 21:15;38,271;01/01/2020 21:15
108;14,59945299;41,4943717;Scalo ferroviario;temp stazioni xy;01/01/2020 21:16;1381,138;01/01/2020 21:16
109;14,60397374;41,50633383;;temp punti xy;01/01/2020 21:17;1346,76;01/01/2020 21:17
110;14,58860349;41,5100152;;temp punti xy;01/01/2020 21:18;1644,416;01/01/2020 21:19
111;14,59737549;41,52327233;;temp punti xy;01/01/2020 21:20;3146,216;01/01/2020 21:21
112;14,63184412;41,53474358;;temp punti xy;01/01/2020 21:22;3441,86;01/01/2020 21:22
113;14,66216862;41,55575233;Scalo ferroviario;temp stazioni xy;01/01/2020 21:23;27,573;01/01/2020 21:22
114;14,66240712;41,5559242;Scalo ferroviario;temp stazioni xy;01/01/2020 21:23;61,132;01/01/2020 21:22
115;14,66266037;41,5564407;Scalo ferroviario;temp stazioni xy;01/01/2020 21:23;219,746;01/01/2020 21:24
116;14,66403637;41,55812783;Stazione;temp stazioni xy;01/01/2020 21:25;115,867;01/01/2020 21:26
