x;y;DEC_TIPO;layer;time;length;endtime
14,04884724;41,48302808;Stazione;temp stazioni xy;07-08-2018 15:35:00;9,035;07-08-2018 15:36:00
14,04891844;41,48296683;;temp punti xy;07-08-2018 15:36:00;320,132;07-08-2018 15:39:03
14,05202037;41,4846602;Scalo ferroviario;temp stazioni xy;07-08-2018 15:39:03;3687,952;07-08-2018 15:42:06
14,08850687;41,50337052;;;07-08-2018 15:42:06;3687,231;07-08-2018 15:44:36
14,12499337;41,52208083;;temp punti xy;07-08-2018 15:44:36;3028,318;07-08-2018 15:46:05
14,15991599;41,52947795;;temp punti xy;07-08-2018 15:46:05;1791,272;07-08-2018 15:48:06
14,16044274;41,54560133;;temp punti xy;07-08-2018 15:48:06;2448,842;07-08-2018 15:52:17
14,18115837;41,5612222;;temp punti xy;07-08-2018 15:52:17;5057,972;07-08-2018 15:54:38
14,24174449;41,56305583;;temp punti xy;07-08-2018 15:54:38;2838,965;07-08-2018 15:55:30
14,24284687;41,5886037;;temp punti xy;07-08-2018 15:55:30;1057,446;07-08-2018 15:56:00
14,23398074;41,59541158;Scalo ferroviario;temp stazioni xy;07-08-2018 15:56:00;214,189;07-08-2018 15:57:00
14,23549274;41,5969707;Stazione;temp stazioni xy;07-08-2018 15:57:00;389,7;07-08-2018 15:59:30
14,23824324;41,5998077;Scalo ferroviario;temp stazioni xy;07-08-2018 15:59:30;2386,551;07-08-2018 16:02:33
14,26686462;41,60022783;;temp punti xy;07-08-2018 16:02:33;2919,553;07-08-2018 16:06:17
14,28563924;41,57803933;;temp punti xy;07-08-2018 16:06:17;3573,302;07-08-2018 16:06:21
14,32600774;41,58883108;Scalo ferroviario;temp stazioni xy;07-08-2018 16:06:21;76,527;07-08-2018 16:06:21
14,32655049;41,58827545;Scalo ferroviario;temp stazioni xy;07-08-2018 16:06:21;1,313;07-08-2018 16:06:29
14,32656098;41,58826663;;temp punti xy;07-08-2018 16:06:29;133,678;07-08-2018 16:09:00
14,32765374;41,58738595;Stazione;temp stazioni xy;07-08-2018 16:09:00;129,212;07-08-2018 16:10:00
14,32862024;41,58647658;Scalo ferroviario;temp stazioni xy;07-08-2018 16:10:00;38,588;07-08-2018 16:10:00
14,32895924;41,58624008;Scalo ferroviario;temp stazioni xy;07-08-2018 16:10:00;10,595;07-08-2018 16:13:48
14,32900787;41,58615195;Scalo ferroviario;temp stazioni xy;07-08-2018 16:13:48;2724,645;07-08-2018 16:17:36
14,34369143;41,56423745;;;07-08-2018 16:17:36;2724,822;07-08-2018 16:21:41
14,35837499;41,54232295;;temp punti xy;07-08-2018 16:21:41;2918,31;07-08-2018 16:24:41
14,39116062;41,53317858;;temp punti xy;07-08-2018 16:24:41;2147,715;07-08-2018 16:27:41
14,41201231;41,52184652;;;07-08-2018 16:27:41;2147,959;07-08-2018 16:30:41
14,432864;41,51051446;;;07-08-2018 16:30:41;2148,204;07-08-2018 16:33:41
14,45371568;41,49918239;;;07-08-2018 16:33:41;2148,448;07-08-2018 16:34:00
14,47456737;41,48785033;Stazione;temp stazioni xy;07-08-2018 16:34:00;0,775;07-08-2018 18:11:00
