fid;x;y;DEC_TIPO;layer;time;length;speed
1;14,66403637;41,55812783;Stazione;temp stazioni xy;19-01-2019 12:32:00;115,867;18,247
2;14,66266037;41,5564407;Scalo ferroviario;temp stazioni xy;19-01-2019 12:57:00;219,746;
3;14,66240712;41,5559242;Scalo ferroviario;temp stazioni xy;19-01-2019 12:57:22;61,132;
4;14,66216862;41,55575233;Scalo ferroviario;temp stazioni xy;19-01-2019 12:57:42;27,573;
5;14,63184412;41,53474358;;temp punti xy;19-01-2019 13:01:09;3441,86;
6;14,59737549;41,52327233;;temp punti xy;19-01-2019 13:04:20;3146,216;
7;14,58860349;41,5100152;;temp punti xy;19-01-2019 13:06:09;1644,416;
8;14,60397374;41,50633383;;temp punti xy;19-01-2019 13:07:42;1346,76;
9;14,59945299;41,4943717;Scalo ferroviario;temp stazioni xy;19-01-2019 13:09:16;1381,138;
10;14,59904249;41,49421845;Scalo ferroviario;temp stazioni xy;19-01-2019 13:09:37;38,271;
11;14,59787649;41,4938862;Stazione;temp stazioni xy;19-01-2019 13:10:00;104,123;
12;14,59621099;41,49348245;Scalo ferroviario;temp stazioni xy;19-01-2019 13:11:00;146,127;20,239
13;14,59590612;41,49341195;Scalo ferroviario;temp stazioni xy;19-01-2019 13:11:09;26,635;
14;14,58630199;41,4813712;;temp punti xy;19-01-2019 13:12:33;1559,372;
15;14,59897424;41,46780783;;temp punti xy;19-01-2019 13:14:11;1841,094;
16;14,58712287;41,46367795;;temp punti xy;19-01-2019 13:15:12;1091,152;
17;14,58614812;41,45325558;;temp punti xy;19-01-2019 13:16:17;1160,399;
18;14,54422112;41,45807258;;temp punti xy;19-01-2019 13:19:19;3543,746;
19;14,53493799;41,47086258;;temp punti xy;19-01-2019 13:20:46;1618,41;
20;14,52157574;41,47324695;;temp punti xy;19-01-2019 13:21:50;1147,16;
21;14,48440874;41,47958958;;temp punti xy;19-01-2019 13:24:34;3183,347;
22;14,47457328;41,48784495;;temp punti xy;19-01-2019 13:25:42;1231,013;
23;14,47456737;41,48785033;Stazione;temp stazioni xy;19-01-2019 13:26:00;0,775;
24;14,45371568;41,49918239;;;19-01-2019 13:27:00;2148,448;20,099
25;14,432864;41,51051446;;;19-01-2019 13:28:53;2148,204;
26;14,41201231;41,52184652;;;19-01-2019 13:30:46;2147,959;
27;14,39116062;41,53317858;;temp punti xy;19-01-2019 13:32:39;2147,715;
28;14,35837499;41,54232295;;temp punti xy;19-01-2019 13:35:10;2918,31;
29;14,34369143;41,56423745;;;19-01-2019 13:37:32;2724,822;
30;14,32900787;41,58615195;Scalo ferroviario;temp stazioni xy;19-01-2019 13:39:54;2724,645;
31;14,32895924;41,58624008;Scalo ferroviario;temp stazioni xy;19-01-2019 13:40:01;10,595;
32;14,32862024;41,58647658;Scalo ferroviario;temp stazioni xy;19-01-2019 13:40:09;38,588;
33;14,32765374;41,58738595;Stazione;temp stazioni xy;19-01-2019 13:42:00;129,212;
34;14,32656098;41,58826663;;temp punti xy;19-01-2019 13:43:00;133,678;15,897
35;14,32655049;41,58827545;Scalo ferroviario;temp stazioni xy;19-01-2019 13:43:28;1,313;
36;14,32600774;41,58883108;Scalo ferroviario;temp stazioni xy;19-01-2019 13:44:01;76,527;
37;14,28563924;41,57803933;;temp punti xy;19-01-2019 13:48:13;3573,302;
38;14,26686462;41,60022783;;temp punti xy;19-01-2019 13:51:44;2919,553;
39;14,23824324;41,5998077;Scalo ferroviario;temp stazioni xy;19-01-2019 13:54:42;2386,551;
40;14,23549274;41,5969707;Stazione;temp stazioni xy;19-01-2019 13:55:00;389,7;
41;14,23398074;41,59541158;Scalo ferroviario;temp stazioni xy;19-01-2019 13:56:00;214,189;18,06
42;14,24284687;41,5886037;;temp punti xy;19-01-2019 13:57:07;1057,446;
43;14,24174449;41,56305583;;temp punti xy;19-01-2019 13:59:53;2838,965;
44;14,18115837;41,5612222;;temp punti xy;19-01-2019 14:04:42;5057,972;
45;14,16044274;41,54560133;;temp punti xy;19-01-2019 14:07:06;2448,842;
46;14,15991599;41,52947795;;temp punti xy;19-01-2019 14:08:54;1791,272;
47;14,12499337;41,52208083;;temp punti xy;19-01-2019 14:11:50;3028,318;
48;14,08850687;41,50337052;;;19-01-2019 14:15:23;3687,231;
49;14,05202037;41,4846602;Scalo ferroviario;temp stazioni xy;19-01-2019 14:18:56;3687,952;
50;14,04891844;41,48296683;;temp punti xy;19-01-2019 14:19:22;320,132;
51;14,04884724;41,48302808;Stazione;temp stazioni xy;19-01-2019 14:22:00;9,035;
52;14,04705774;41,48210633;Scalo ferroviario;temp stazioni xy;19-01-2019 14:23:00;181,156;40,014
53;14,02917899;41,46932508;;temp punti xy;19-01-2019 14:23:54;2060,386;
54;14,01880403;41,44246299;;temp punti xy;19-01-2019 14:25:14;3106,764;
55;13,99727034;41,42834078;;temp punti xy;19-01-2019 14:26:16;2387,295;
56;13,96220485;41,44158084;;temp punti xy;19-01-2019 14:27:41;3278,971;
57;13,93780463;41,44277853;;temp punti xy;19-01-2019 14:28:35;2043,47;
58;13,92293943;41,43851007;;temp punti xy;19-01-2019 14:29:11;1329,698;
59;13,89429187;41,43947558;;temp punti xy;19-01-2019 14:30:14;2396,605;
60;13,85988999;41,44872883;;temp punti xy;19-01-2019 14:31:33;3053,057;
61;13,84970024;41,45827908;;temp punti xy;19-01-2019 14:32:10;1360,125;
62;13,84835299;41,47567883;;temp punti xy;19-01-2019 14:33:01;1935,742;
63;13,83742074;41,48346908;Diramazione/confluenza;temp stazioni xy;19-01-2019 14:33:35;1257,902;
64;13,83248721;41,48368406;;temp punti xy;19-01-2019 14:33:48;412,726;
65;13,83226237;41,4841932;Stazione;temp stazioni xy;19-01-2019 14:34:00;59,583;
66;13,82909662;41,48274133;Diramazione/confluenza;temp stazioni xy;19-01-2019 14:35:00;309,687;31,841
67;13,81730912;41,47750033;;temp punti xy;19-01-2019 14:35:39;1143,715;
68;13,80395599;41,47779408;;temp punti xy;19-01-2019 14:36:18;1115,796;
69;13,76244943;41,48779052;;;19-01-2019 14:38:16;3640,005;
70;13,72094287;41,49778695;;temp punti xy;19-01-2019 14:40:14;3639,498;
71;13,68648181;41,51115427;;;19-01-2019 14:41:59;3237,624;
72;13,65202074;41,52452158;;temp punti xy;19-01-2019 14:43:44;3237,099;
73;13,64288212;41,52721908;;temp punti xy;19-01-2019 14:44:13;819,465;
74;13,63100637;41,5297407;;temp punti xy;19-01-2019 14:44:49;1029,953;
75;13,59268512;41,52957833;;;19-01-2019 14:46:33;3198,268;
76;13,55436387;41,52941595;;temp punti xy;19-01-2019 14:48:17;3198,276;
77;13,52333337;41,52548108;;;19-01-2019 14:49:43;2626,448;
78;13,49230287;41,5215462;;temp punti xy;19-01-2019 14:51:09;2626,602;
79;13,45093062;41,5335367;;temp punti xy;19-01-2019 14:53:09;3700,865;
80;13,41328637;41,53226195;;temp punti xy;19-01-2019 14:54:51;3144,748;
81;13,38546799;41,54637408;;temp punti xy;19-01-2019 14:56:22;2800,918;
82;13,36673424;41,5438277;;temp punti xy;19-01-2019 14:57:15;1588,489;
83;13,35083437;41,55277295;;temp punti xy;19-01-2019 14:58:11;1657,373;
84;13,32995399;41,57998558;;temp punti xy;19-01-2019 15:00:04;3488,273;
85;13,33994924;41,61416283;;temp punti xy;19-01-2019 15:02:10;3886,305;
86;13,32460787;41,6281807;;temp punti xy;19-01-2019 15:03:17;2014,613;
87;13,27731724;41,63451533;;temp punti xy;19-01-2019 15:05:26;4002,913;
88;13,24093212;41,66064883;;temp punti xy;19-01-2019 15:07:41;4196,72;
89;13,22485387;41,6564597;;temp punti xy;19-01-2019 15:08:29;1417,715;
90;13,19022862;41,66772258;;temp punti xy;19-01-2019 15:10:11;3143,477;
91;13,16299862;41,68125352;;;19-01-2019 15:11:40;2720,299;
92;13,13576862;41,69478446;;;19-01-2019 15:13:09;2719,905;
93;13,10853862;41,70831539;;;19-01-2019 15:14:38;2719,511;
94;13,08130862;41,72184633;;temp punti xy;19-01-2019 15:16:07;2719,117;
95;13,04327487;41,73431033;;temp punti xy;19-01-2019 15:17:59;3454,059;
96;13,01977262;41,73306433;;temp punti xy;19-01-2019 15:19:04;1960,168;
97;13,00113124;41,74143183;;temp punti xy;19-01-2019 15:20:04;1807,945;
98;12,98362874;41,75431908;;;19-01-2019 15:21:12;2041,612;
99;12,96612624;41,76720633;;temp punti xy;19-01-2019 15:22:20;2041,406;
100;12,93762784;41,77309702;;;19-01-2019 15:23:41;2458,259;
101;12,90912943;41,77898771;;;19-01-2019 15:25:02;2458,051;
102;12,88063103;41,78487839;;;19-01-2019 15:26:23;2457,841;
103;12,85213262;41,79076908;;temp punti xy;19-01-2019 15:27:44;2457,633;
104;12,82855549;41,81499895;;temp punti xy;19-01-2019 15:29:32;3328,933;
105;12,82076687;41,8286537;;temp punti xy;19-01-2019 15:30:27;1648,907;
106;12,78626156;41,83383227;;;19-01-2019 15:32:02;2923,473;
107;12,75175624;41,83901083;;temp punti xy;19-01-2019 15:33:37;2923,248;
108;12,73057449;41,83235533;;temp punti xy;19-01-2019 15:34:40;1908,417;
109;12,67664149;41,82948895;;temp punti xy;19-01-2019 15:37:05;4491,497;
110;12,65039574;41,81715895;;;19-01-2019 15:38:29;2574,883;
111;12,62414999;41,80482895;;temp punti xy;19-01-2019 15:39:53;2575,235;
112;12,59789449;41,80479258;;temp punti xy;19-01-2019 15:41:05;2181,927;
113;12,57206137;41,82665245;;temp punti xy;19-01-2019 15:42:50;3240,728;
114;12,55336293;41,85385764;;;19-01-2019 15:44:40;3397,432;
115;12,53466449;41,88106283;;temp punti xy;19-01-2019 15:46:30;3397,144;
116;12,50222599;41,90065145;Stazione;temp stazioni xy;19-01-2019 15:49:00;3461,421;
