fid;x;y;DEC_TIPO;layer;time
1;12,50222599;41,90065145;Stazione;temp stazioni xy;2020-02-06T00:00:10.000
2;12,53466449;41,88106283;;temp punti xy;2020-02-06T00:00:20.000
3;12,57206137;41,82665245;;temp punti xy;2020-02-06T00:00:30.000
4;12,59789449;41,80479258;;temp punti xy;2020-02-06T00:00:40.000
5;12,62414999;41,80482895;;temp punti xy;2020-02-06T00:00:50.000
6;12,67664149;41,82948895;;temp punti xy;2020-02-06T00:01:00.000
7;12,73057449;41,83235533;;temp punti xy;2020-02-06T00:01:10.000
8;12,75175624;41,83901083;;temp punti xy;2020-02-06T00:01:20.000
9;12,82076687;41,8286537;;temp punti xy;2020-02-06T00:01:30.000
10;12,82855549;41,81499895;;temp punti xy;2020-02-06T00:01:40.000
11;12,85213262;41,79076908;;temp punti xy;2020-02-06T00:01:50.000
12;12,96612624;41,76720633;;temp punti xy;2020-02-06T00:02:00.000
13;13,00113124;41,74143183;;temp punti xy;2020-02-06T00:02:10.000
14;13,01977262;41,73306433;;temp punti xy;2020-02-06T00:02:20.000
15;13,04327487;41,73431033;;temp punti xy;2020-02-06T00:02:30.000
16;13,08130862;41,72184633;;temp punti xy;2020-02-06T00:02:40.000
17;13,19022862;41,66772258;;temp punti xy;2020-02-06T00:02:50.000
18;13,22485387;41,6564597;;temp punti xy;2020-02-06T00:03:00.000
19;13,24093212;41,66064883;;temp punti xy;2020-02-06T00:03:10.000
20;13,27731724;41,63451533;;temp punti xy;2020-02-06T00:03:20.000
21;13,32460787;41,6281807;;temp punti xy;2020-02-06T00:03:30.000
22;13,33994924;41,61416283;;temp punti xy;2020-02-06T00:03:40.000
23;13,32995399;41,57998558;;temp punti xy;2020-02-06T00:03:50.000
24;13,35083437;41,55277295;;temp punti xy;2020-02-06T00:04:00.000
25;13,36673424;41,5438277;;temp punti xy;2020-02-06T00:04:10.000
26;13,38546799;41,54637408;;temp punti xy;2020-02-06T00:04:20.000
27;13,41328637;41,53226195;;temp punti xy;2020-02-06T00:04:30.000
28;13,45093062;41,5335367;;temp punti xy;2020-02-06T00:04:40.000
29;13,49230287;41,5215462;;temp punti xy;2020-02-06T00:04:50.000
30;13,55436387;41,52941595;;temp punti xy;2020-02-06T00:05:00.000
31;13,63100637;41,5297407;;temp punti xy;2020-02-06T00:05:10.000
32;13,64288212;41,52721908;;temp punti xy;2020-02-06T00:05:20.000
33;13,65202074;41,52452158;;temp punti xy;2020-02-06T00:05:50.000
34;13,72094287;41,49778695;;temp punti xy;2020-02-06T00:06:00.000
35;13,80395599;41,47779408;;temp punti xy;2020-02-06T00:06:10.000
36;13,81730912;41,47750033;;temp punti xy;2020-02-06T00:06:20.000
37;13,82909662;41,48274133;Diramazione/confluenza;temp stazioni xy;2020-02-06T00:06:25.000
38;13,83226237;41,4841932;Stazione;temp stazioni xy;2020-02-06T00:06:30.000
39;13,83248721;41,48368406;;temp punti xy;2020-02-06T00:06:40.000
40;13,83742074;41,48346908;Diramazione/confluenza;temp stazioni xy;2020-02-06T00:07:15.000
41;13,84835299;41,47567883;;temp punti xy;2020-02-06T00:07:25.000
42;13,84970024;41,45827908;;temp punti xy;2020-02-06T00:07:35.000
43;13,85988999;41,44872883;;temp punti xy;2020-02-06T00:07:45.000
44;13,89429187;41,43947558;;temp punti xy;2020-02-06T00:07:55.000
45;13,92293943;41,43851007;;temp punti xy;2020-02-06T00:08:05.000
46;13,93780463;41,44277853;;temp punti xy;2020-02-06T00:08:15.000
47;13,96220485;41,44158084;;temp punti xy;2020-02-06T00:08:25.000
48;13,99727034;41,42834078;;temp punti xy;2020-02-06T00:08:35.000
49;14,01880403;41,44246299;;temp punti xy;2020-02-06T00:08:45.000
50;14,02917899;41,46932508;;temp punti xy;2020-02-06T00:08:55.000
51;14,04705774;41,48210633;Scalo ferroviario;temp stazioni xy;2020-02-06T00:09:00.000
52;14,04884724;41,48302808;Stazione;temp stazioni xy;2020-02-06T00:09:05.000
53;14,04891844;41,48296683;;temp punti xy;2020-02-06T00:09:15.000
54;14,05202037;41,4846602;Scalo ferroviario;temp stazioni xy;2020-02-06T00:09:20.000
55;14,12499337;41,52208083;;temp punti xy;2020-02-06T00:09:30.000
56;14,15991599;41,52947795;;temp punti xy;2020-02-06T00:09:40.000
57;14,16044274;41,54560133;;temp punti xy;2020-02-06T00:09:50.000
58;14,18115837;41,5612222;;temp punti xy;2020-02-06T00:10:00.000
59;14,24174449;41,56305583;;temp punti xy;2020-02-06T00:10:10.000
60;14,24284687;41,5886037;;temp punti xy;2020-02-06T00:10:20.000
61;14,23398074;41,59541158;Scalo ferroviario;temp stazioni xy;2020-02-06T00:10:30.000
62;14,23549274;41,5969707;Stazione;temp stazioni xy;2020-02-06T00:10:40.000
63;14,23824324;41,5998077;Scalo ferroviario;temp stazioni xy;2020-02-06T00:10:50.000
64;14,26686462;41,60022783;;temp punti xy;2020-02-06T00:11:00.000
65;14,28563924;41,57803933;;temp punti xy;2020-02-06T00:11:10.000
66;14,32600774;41,58883108;Scalo ferroviario;temp stazioni xy;2020-02-06T00:11:20.000
67;14,32655049;41,58827545;Scalo ferroviario;temp stazioni xy;2020-02-06T00:11:30.000
68;14,32656098;41,58826663;;temp punti xy;2020-02-06T00:11:40.000
69;14,32765374;41,58738595;Stazione;temp stazioni xy;2020-02-06T00:11:50.000
70;14,32862024;41,58647658;Scalo ferroviario;temp stazioni xy;2020-02-06T00:12:00.000
71;14,32895924;41,58624008;Scalo ferroviario;temp stazioni xy;2020-02-06T00:12:10.000
72;14,32900787;41,58615195;Scalo ferroviario;temp stazioni xy;2020-02-06T00:12:20.000
73;14,35837499;41,54232295;;temp punti xy;2020-02-06T00:12:30.000
74;14,39116062;41,53317858;;temp punti xy;2020-02-06T00:12:40.000
75;14,47456737;41,48785033;Stazione;temp stazioni xy;2020-02-06T00:12:50.000
76;14,47457328;41,48784495;;temp punti xy;2020-02-06T00:13:00.000
77;14,48440874;41,47958958;;temp punti xy;2020-02-06T00:13:10.000
78;14,52157574;41,47324695;;temp punti xy;2020-02-06T00:13:20.000
79;14,53493799;41,47086258;;temp punti xy;2020-02-06T00:13:30.000
80;14,54422112;41,45807258;;temp punti xy;2020-02-06T00:13:40.000
81;14,58614812;41,45325558;;temp punti xy;2020-02-06T00:13:50.000
82;14,58712287;41,46367795;;temp punti xy;2020-02-06T00:14:00.000
83;14,59897424;41,46780783;;temp punti xy;2020-02-06T00:14:10.000
84;14,58630199;41,4813712;;temp punti xy;2020-02-06T00:14:20.000
85;14,59590612;41,49341195;Scalo ferroviario;temp stazioni xy;2020-02-06T00:14:30.000
86;14,59621099;41,49348245;Scalo ferroviario;temp stazioni xy;2020-02-06T00:14:40.000
87;14,59787649;41,4938862;Stazione;temp stazioni xy;2020-02-06T00:14:50.000
88;14,59904249;41,49421845;Scalo ferroviario;temp stazioni xy;2020-02-06T00:15:00.000
