fid;x;y;DEC_TIPO;layer;time
1;125.022.259.919.047;419.006.514.530.593;;temp punti xy;2020-02-06T13:51:36.000
2;125.346.644.919.349;41.881.062.828.041;;temp punti xy;#VALORE!
3;125.720.613.669.697;418.266.524.529.904;;temp punti xy;2020-02-06T13:51:33.000
4;125.978.944.919.938;4.180.479.257.797;;temp punti xy;2020-02-06T13:51:33.000
5;126.241.499.920.182;418.048.289.529.701;;temp punti xy;2020-02-06T13:51:32.000
6;126.766.414.920.671;41.829.488.952.993;;temp punti xy;2020-02-06T13:51:29.000
7;127.305.744.921.174;418.323.553.279.957;;temp punti xy;2020-02-06T13:51:27.000
8;127.517.562.421.371;418.390.108.280.019;;temp punti xy;2020-02-06T13:51:25.000
9;128.207.668.672.014;418.286.537.029.922;;temp punti xy;2020-02-06T13:51:24.000
10;128.285.554.922.086;418.149.989.529.795;;temp punti xy;2020-02-06T13:51:21.000
11;128.521.326.172.306;417.907.690.779.569;;temp punti xy;2020-02-06T13:51:20.000
12;129.661.262.423.367;41.767.206.327.935;;temp punti xy;2020-02-06T13:51:19.000
13;130.011.312.423.693;41.741.431.827.911;;temp punti xy;2020-02-06T13:51:17.000
14;130.197.726.173.867;417.330.643.279.032;;temp punti xy;2020-02-06T13:51:14.000
15;130.432.748.674.086;417.343.103.279.044;;temp punti xy;2020-02-06T13:51:12.000
16;13.081.308.617.444;417.218.463.278.927;;temp punti xy;2020-02-06T13:51:08.000
17;131.902.286.175.454;416.677.225.778.424;;temp punti xy;2020-02-06T13:51:04.000
18;132.248.538.675.777;416.564.597.028.319;;temp punti xy;2020-02-06T13:51:01.000
19;132.409.321.175.927;416.606.488.278.358;;temp punti xy;2020-02-06T13:51:00.000
20;132.773.172.426.265;416.345.153.278.114;;temp punti xy;2020-02-06T13:51:00.000
21;133.246.078.676.706;416.281.807.028.055;;temp punti xy;2020-02-06T13:50:59.000
22;133.399.492.426.849;416.141.628.277.925;;temp punti xy;2020-02-06T13:50:57.000
23;133.299.539.926.756;415.799.855.777.606;;temp punti xy;2020-02-06T13:50:58.000
24;13.350.834.367.695;415.527.729.527.353;;temp punti xy;2020-02-06T13:50:54.000
25;133.667.342.427.098;41.543.827.702.727;;temp punti xy;2020-02-06T13:50:52.000
26;133.854.679.927.273;415.463.740.777.293;;temp punti xy;2020-02-06T13:50:48.000
27;134.132.863.677.532;415.322.619.527.162;;temp punti xy;2020-02-06T13:50:45.000
28;134.509.306.177.882;415.335.367.027.174;;temp punti xy;2020-02-06T13:50:44.000
29;134.923.028.678.268;415.215.462.027.062;;temp punti xy;2020-02-06T13:50:43.000
30;135.543.638.678.846;415.294.159.527.135;;temp punti xy;2020-02-06T13:50:40.000
31;136.310.063.679.559;415.297.407.027.138;;temp punti xy;2020-02-06T13:50:38.000
32;136.520.207.429.755;41.524.521.577.709;;temp punti xy;2020-02-06T13:50:30.000
33;13.642.882.117.967;415.272.190.777.115;;temp punti xy;2020-02-06T13:50:37.000
34;136.520.207.429.755;41.524.521.577.709;;temp punti xy;2020-02-06T13:50:31.000
35;136.520.207.429.755;41.524.521.577.709;;temp punti xy;2020-02-06T13:50:34.000
36;137.209.428.680.397;414.977.869.526.841;;temp punti xy;2020-02-06T13:50:29.000
37;13.803.955.993.117;414.777.940.776.655;;temp punti xy;2020-02-06T13:50:28.000
38;138.173.091.181.294;414.775.003.276.652;;temp punti xy;2020-02-06T13:50:27.000
39;138.324.872.125.088;414.836.840.644.364;;temp punti xy;2020-02-06T13:50:25.000
40;138.374.207.431.482;414.834.690.776.708;;temp punti xy;2020-02-06T13:50:16.000
41;138.374.207.431.482;414.834.690.776.708;;temp punti xy;2020-02-06T13:50:17.000
42;138.374.207.431.482;414.834.690.776.708;;temp punti xy;2020-02-06T13:50:19.000
43;138.483.529.931.584;414.756.788.276.635;;temp punti xy;2020-02-06T13:50:15.000
44;138.497.002.431.596;414.582.790.776.473;;temp punti xy;2020-02-06T13:50:13.000
45;138.598.899.931.691;414.487.288.276.384;;temp punti xy;2020-02-06T13:50:11.000
46;138.942.918.682.012;414.394.755.776.298;;temp punti xy;2020-02-06T13:50:10.000
47;13.922.939.426.661;414.385.100.697.075;;temp punti xy;2020-02-06T13:50:10.000
48;139.378.046.325.992;414.427.785.260.237;;temp punti xy;2020-02-06T13:50:09.000
49;139.622.048.511.131;414.415.808.390.332;;temp punti xy;2020-02-06T13:50:06.000
50;139.972.703.433.985;414.283.407.756.623;;temp punti xy;2020-02-06T13:50:05.000
51;140.188.040.313.631;414.424.629.883.493;;temp punti xy;2020-02-06T13:50:04.000
52;140.291.789.933.268;414.693.250.776.576;;temp punti xy;2020-02-06T13:50:02.000
53;140.489.184.370.032;414.829.668.337.861;;temp punti xy;2020-02-06T13:49:58.000
54;14.124.993.368.416;415.220.808.277.067;;temp punti xy;2020-02-06T13:49:43.000
55;141.599.159.934.485;415.294.779.527.136;;temp punti xy;2020-02-06T13:49:42.000
56;14.160.442.743.449;415.456.013.277.286;;temp punti xy;2020-02-06T13:49:40.000
57;141.811.583.684.683;415.612.222.027.432;;temp punti xy;2020-02-06T13:49:39.000
58;142.417.444.935.247;415.630.558.277.449;;temp punti xy;2020-02-06T13:49:33.000
59;142.428.468.685.258;415.886.037.027.687;;temp punti xy;2020-02-06T13:49:29.000
60;142.382.432.435.215;415.998.077.027.791;;temp punti xy;2020-02-06T13:49:35.000
61;142.668.646.185.481;416.002.278.277.795;;temp punti xy;2020-02-06T13:49:18.000
62;142.856.392.435.656;415.780.393.277.588;;temp punti xy;2020-02-06T13:49:17.000
63;14.326.560.981.769;415.882.666.287.019;;temp punti xy;2020-02-06T13:49:15.000
64;143.286.202.436.056;415.864.765.777.667;;temp punti xy;2020-02-06T13:49:10.000
65;143.583.749.936.334;415.423.229.527.256;;temp punti xy;2020-02-06T13:49:04.000
66;143.911.606.186.639;41.533.178.577.717;;temp punti xy;2020-02-06T13:49:01.000
67;14.474.573.284.636;414.878.449.533.011;;temp punti xy;2020-02-06T13:48:56.000
68;144.844.087.437.507;414.795.895.776.671;;temp punti xy;2020-02-06T13:48:54.000
69;145.215.757.437.854;414.732.469.526.612;;temp punti xy;2020-02-06T13:48:53.000
70;145.349.379.937.978;41.470.862.577.659;;temp punti xy;2020-02-06T13:48:37.000
71;145.442.211.188.064;414.580.725.776.471;;temp punti xy;2020-02-06T13:48:27.000
72;145.861.481.188.455;414.532.555.776.426;;temp punti xy;2020-02-06T13:48:26.000
73;145.871.228.688.464;414.636.779.526.523;;temp punti xy;2020-02-06T13:48:24.000
74;145.989.742.438.574;414.678.078.276.562;;temp punti xy;2020-02-06T13:48:04.000
75;145.863.019.938.456;414.813.712.026.688;;temp punti xy;2020-02-06T13:48:25.000
76;145.990.424.938.575;414.942.184.526.808;;temp punti xy;2020-02-06T13:47:38.000
77;146.318.441.188.881;415.347.435.777.185;;temp punti xy;2020-02-06T13:47:19.000
78;145.973.754.938.559;415.232.723.277.078;;temp punti xy;2020-02-06T13:48:19.000
79;145.886.034.938.478;415.100.152.026.955;;temp punti xy;2020-02-06T13:48:23.000
80;146.039.737.438.621;41.506.333.827.692;;temp punti xy;2020-02-06T13:47:31.000
81;146.624.071.189.165;415.559.242.027.382;;temp punti xy;2020-02-06T13:47:09.000
82;14.665.050.368.919;415.594.645.777.415;;temp punti xy;2020-02-06T13:46:09.000
83;125.022.259.919.047;419.006.514.530.593;;temp punti xy;2020-02-06T13:51:37.000
84;125.346.644.919.349;41.881.062.828.041;;temp punti xy;2020-02-06T13:51:35.000
85;125.720.613.669.697;418.266.524.529.904;;temp punti xy;2020-02-06T13:51:34.000
86;125.978.944.919.938;4.180.479.257.797;;temp punti xy;2020-02-06T13:51:33.000
87;126.241.499.920.182;418.048.289.529.701;;temp punti xy;2020-02-06T13:51:32.000
88;126.766.414.920.671;41.829.488.952.993;;temp punti xy;2020-02-06T13:51:30.000
89;127.305.744.921.174;418.323.553.279.957;;temp punti xy;2020-02-06T13:51:28.000
90;127.517.562.421.371;418.390.108.280.019;;temp punti xy;2020-02-06T13:51:26.000
91;128.207.668.672.014;418.286.537.029.922;;temp punti xy;2020-02-06T13:51:25.000
92;128.285.554.922.086;418.149.989.529.795;;temp punti xy;2020-02-06T13:51:23.000
93;128.521.326.172.306;417.907.690.779.569;;temp punti xy;2020-02-06T13:51:21.000
94;129.661.262.423.367;41.767.206.327.935;;temp punti xy;2020-02-06T13:51:19.000
95;130.011.312.423.693;41.741.431.827.911;;temp punti xy;2020-02-06T13:51:18.000
96;130.197.726.173.867;417.330.643.279.032;;temp punti xy;2020-02-06T13:51:14.000
97;130.432.748.674.086;417.343.103.279.044;;temp punti xy;2020-02-06T13:51:13.000
98;13.081.308.617.444;417.218.463.278.927;;temp punti xy;2020-02-06T13:51:10.000
99;131.902.286.175.454;416.677.225.778.424;;temp punti xy;2020-02-06T13:51:04.000
100;132.248.538.675.777;416.564.597.028.319;;temp punti xy;2020-02-06T13:51:03.000
101;132.409.321.175.927;416.606.488.278.358;;temp punti xy;2020-02-06T13:51:01.000
102;132.773.172.426.265;416.345.153.278.114;;temp punti xy;2020-02-06T13:51:00.000
103;133.246.078.676.706;416.281.807.028.055;;temp punti xy;2020-02-06T13:50:59.000
104;133.399.492.426.849;416.141.628.277.925;;temp punti xy;2020-02-06T13:50:57.000
105;133.299.539.926.756;415.799.855.777.606;;temp punti xy;2020-02-06T13:50:58.000
